0,1,2,3,4,5,6,7,8,9,10
0,2.5357,9.2257,0,1.0105,0,12.453,0.506,0.038101,2.8989,0
0,2.5614,7.7923,0,1.0972,0,11.316,0.55039,0.12154,2.4339,0
0,2.4948,6.3487,0,1.1637,0,9.8991,0.52948,0.23908,2.0178,0
0,2.4305,5.2093,0,1.2239,0,8.4799,0.44409,0.32254,1.7182,0
0,2.456,4.4774,0,1.2939,0,7.1752,0.32815,0.31911,1.5055,0
0,2.5453,4.0164,0,1.383,0,6.0892,0.23524,0.24395,1.3224,0.02253
0,2.5435,3.5552,0,1.4738,0,5.3611,0.20098,0.16105,1.1447,0.049756
0,2.3005,2.889,0,1.5212,0,5.0411,0.22323,0.11764,0.98185,0.033821
0,1.8282,2.0586,0,1.4863,0,4.9721,0.26496,0.11365,0.83597,0.00080885
0,1.2808,1.3196,0,1.3671,0,4.8464,0.27123,0.12009,0.68373,0
0,0.79024,0.89882,0,1.1866,0,4.4297,0.20986,0.10974,0.50625,0
0,0.38139,0.81769,0,0.95544,0,3.7432,0.10041,0.082057,0.32791,0
0,0.055225,0.93133,0,0.67246,0,2.9969,0.0027475,0.054116,0.2048,0
0,0,1.0404,0,0.36643,0,2.3661,0,0.03222,0.17215,0
0,0,1.036,0.079306,0.11324,0,1.8685,0,0.0077755,0.22353,0
0,0,0.97054,0.45492,0,0,1.4166,0,0,0.31592,0
0,0,0.94279,0.78084,0,0,0.92945,0,0,0.38169,0
0,0,0.9556,0.90065,0,0,0.39859,0,0,0.37985,0
0,0,0.92028,0.81397,0,0.05287,0,0,0,0.32567,0
0,0,0.79457,0.6315,0,0.21219,0,0,0,0.2586,0
0,0,0.67604,0.45359,0,0.28871,0,0,0,0.19833,0
0,0,0.71108,0.30598,0,0.19444,0,0,0,0.1398,0
0,0,0.94336,0.17522,0,0.019735,0,0,0,0.079386,0
0,0,1.2301,0.066468,0,0,0,0,0,0.031563,0
0,0,1.3167,0.0059299,0,0,0,0.0062336,0,0.01094,0
0,0,1.095,0,0,0,0,0.02917,0,0.010557,0
0,0,0.72434,0,0,0,0,0.038519,0,0.0086247,0
0,0,0.43373,0,0,0,0,0.029846,0,0,0
0,0,0.29375,0,0,0,0,0.0022021,0,0,0.027203
0,0,0.22284,0,0,0,0,0,0,0,0.10175
0,0,0.11981,0,0,0,0,0,0,0,0.16217
0,0,0,0,0,0,0,0,0,0,0.14268
0,0,0,0.0138,0,0,0,0,0,0,0.075547
0,0,0,0.075314,0,0,0,0,0,0,0.03933
0,0,0,0.21825,0,0,0,0,0,0,0.057451
0,0.18795,0,0.47801,0,0,0,0,0,0,0.10147
0,0.46175,0,0.8087,0,0,0,0,0,0,0.11087
0,0.58695,0,1.088,0,0,0,0,0,0,0.068802
0,0.58931,0,1.2348,0,0,0,0,0,0,0.024064
0,0.57934,0,1.2883,0,0,0,0,0,0,0.011508
0,0.59795,0,1.3329,0,0,0,0,0,0,0.024189
0,0.57142,0,1.3731,0,0,0,0,0,0,0.043869
0,0.40459,0,1.3155,0,0,0,0,0,0,0.052837
0,0.12534,0,1.0914,0,0,0,0,0,0,0.05459
0,0,0,0.77193,0,0,0,0,0,0,0.061391
0,0,0,0.50632,0,0,0,0,0,0,0.076281
0,0,0,0.36459,0,0,0,0,0.081438,0,0.094234
0,0,0,0.28986,0,0,0,0,0.20296,0,0.10769
0,0,0,0.17998,0,0,0,0,0.30982,0,0.099843
