0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,3.7657,3.7657,0,13.41,5.1158,3.5679,0,0,5.8533,0,0,0,0,0,0,0,0.38759
0,0,0,5.215,5.215,0,10.336,4.799,3.1791,0,0,4.4489,0,0,0,0,0,0,0,0
0,0,0,6.533,6.533,0,7.4317,4.4788,2.769,0,0,3.1257,0,0,0.079493,0,0,0,0,0
0,0,0,7.6203,7.6203,0,4.8746,4.187,2.3613,0,0,1.9491,0,0,0.52959,0,0,0,0,0
0.30613,0,0,8.4034,8.4034,0,2.794,3.9344,1.9725,0,0,0.96515,0,0,0.91516,0,0,0,0,0
0.52937,0,0,8.8438,8.8438,0,1.2546,3.7113,1.6112,0,0,0.20026,0,0,1.2105,0,0,0,0,0
0.58763,0,0,8.9413,8.9413,0,0.25454,3.4912,1.2788,0,0,0,0,0,1.4026,0,0,0,0,0
0.49613,0,0,8.7324,8.7324,0,0,3.2394,0.97118,0,0,0,0,0,1.4876,0,0,0,0,0
0.28667,0,0,8.2828,8.2828,0,0,2.922,0.68276,0,0,0,0,0,1.4698,0,0,0,0,0
0.0046617,0,0,7.6762,7.6762,0,0,2.5155,0.4096,0,0,0,0,0,1.3603,0,0,0,0,0
0,0,0,7.0007,7.0007,0,0,2.0137,0.15308,0,0,0,0,0,1.1757,0,0,0,0,0
0,0,0,6.3355,6.3355,0,0,1.4315,0,0,0,0,0,0,0.93589,0,0,0,0,0
0,0,0,5.7394,5.7394,0,0,0.80386,0,0,0,0,0,0,0.66225,0,0,0,0,0
0,0,0,5.2444,5.2444,0,0,0.18366,0,0,0,0,0,0,0.37606,0,0,0,0,0
0,0,0,4.8531,4.8531,0,0,0,0,0,0,0,0,0,0.098406,0,0,0,0,0
0,0,0,4.5421,4.5421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4.2691,4.2691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3.9831,3.9831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3.636,3.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3.1931,3.1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2.6412,2.6411,0,0,0,0.033635,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.992,1.992,0,0,0,0.16775,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.282,1.282,0,0,0,0.22886,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.56708,0.56708,0,0,0,0.18836,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.037313,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069022,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087671,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039489,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065382,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20967,0,0
