0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.0000,0.0000,0.0000,0.0000,0.0000,0.5515,0.5198,0.2486,0.0000,0.0000,0.0000,0.9590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5612
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3523,0.0000,0.0000,0.0000,0.3469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1037
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9480,0.0000,0.0000,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3758,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4257,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1917,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7868,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1668,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,1.0834,0.3248,0.0000,0.0000,2.6870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2543,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,3.4461,2.0237,0.0000,0.0000,3.3005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6572,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,5.5607,4.4546,0.0000,0.0000,2.9610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2097,0.0000,0.0000,0.0000,0.0000,0.0000
