0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.00162,0.00227,0.00394,0.00514,0.00414,0.00305,0.00751,0.00925,0.00987,0.00229,0.00379,0.00321,0.00343,0.00258,0.00413,0.00739,0.00630,0.00500,0.00211,0.00192,0.00227
0.00162,0.00227,0.00394,0.00514,0.00414,0.00305,0.00751,0.00925,0.00987,0.00229,0.00379,0.00321,0.00343,0.00258,0.00413,0.00739,0.00630,0.00500,0.00211,0.00192,0.00227
0.00162,0.00227,0.00394,0.00514,0.00414,0.00305,0.00751,0.00925,0.00987,0.00229,0.00379,0.00321,0.00343,0.00258,0.00413,0.00739,0.00630,0.00500,0.00211,0.00192,0.00227
0.00162,0.00227,0.00394,0.00514,0.00414,0.00305,0.00751,0.00925,0.00987,0.00229,0.00379,0.00321,0.00343,0.00258,0.00413,0.00739,0.00630,0.00500,0.00211,0.00192,0.00227
0.00162,0.00227,0.00394,0.00514,0.00414,0.00305,0.00751,0.00925,0.00987,0.00229,0.00379,0.00321,0.00343,0.00258,0.00413,0.00739,0.00630,0.00500,0.00211,0.00192,0.00227
0.00162,0.00227,0.00394,0.00514,0.00414,0.00305,0.00751,0.00925,0.00987,0.00229,0.00379,0.00321,0.00343,0.00258,0.00413,0.00739,0.00630,0.00500,0.00211,0.00192,0.00227
0.00162,0.00227,0.00394,0.00514,0.00414,0.00305,0.00751,0.00925,0.00987,0.00229,0.00379,0.00321,0.00343,0.00258,0.00413,0.00739,0.00630,0.00500,0.00211,0.00192,0.00227
0.00162,0.00227,0.00394,0.00514,0.00414,0.00305,0.00751,0.00925,0.00987,0.00229,0.00379,0.00321,0.00343,0.00258,0.00413,0.00739,0.00630,0.00500,0.00211,0.00192,0.00227
0.00162,0.00227,0.00394,0.00514,0.00414,0.00305,0.00751,0.00925,0.00987,0.00229,0.00379,0.00321,0.00343,0.00258,0.00413,0.00739,0.00630,0.00500,0.00211,0.00192,0.00227
0.00162,0.00227,0.00394,0.00514,0.00414,0.00305,0.00751,0.00925,0.00987,0.00229,0.00379,0.00321,0.00343,0.00258,0.00413,0.00739,0.00630,0.00500,0.00211,0.00192,0.00227
0.00162,0.00227,0.00394,0.00514,0.00414,0.00305,0.00751,0.00925,0.00987,0.00229,0.00379,0.00321,0.00343,0.00258,0.00413,0.00739,0.00630,0.00500,0.00211,0.00192,0.00227
0.00162,0.00227,0.00394,0.00514,0.00414,0.00305,0.00751,0.00925,0.00987,0.00229,0.00379,0.00321,0.00343,0.00258,0.00413,0.00739,0.00630,0.00500,0.00211,0.00192,0.00227
0.00162,0.00227,0.00394,0.00514,0.00414,0.00305,0.00751,0.00925,0.00987,0.00229,0.00379,0.00321,0.00343,0.00258,0.00413,0.00739,0.00630,0.00500,0.00211,0.00192,0.00227
