0,1,2,3,4,5
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
0.03680,0.03658,0.04545,0.03426,0.03189,0.03957
