0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.1908,0,0,0,0,0.37233,0,0,0,0,0.011396,0,0,0,0,0.28302,0,0,0,0
0,0.27557,0,0,0,0,0.41881,0,0,0,0,0.027136,0,0,0,0,0.31834,0,0,0,0
0,0.34686,0,0,0,0,0.41054,0,0,0,0,0.056314,0,0,0,0,0.31206,0,0,0,0
0,0.36657,0,0,0,0,0.3379,0,0,0,0,0.098122,0,0,0,0,0.25685,0,0,0,0
0,0.31466,0,0,0,0,0.22589,0,0,0,0,0.13887,0,0,0,0,0.17171,0,0,0,0
0,0.21436,0,0,0,0,0.11985,0,0,0,0,0.15598,0,0,0,0,0.0911,0,0,0,0
0,0.11449,0,0,0,0,0.04985,0,0,0,0,0.13734,0,0,0,0,0.037892,0,0,0,0
0,0.047704,0,0,0,0,0.016177,0,0,0.00047401,0,0.094353,0,0,0,0,0.012296,0,0,0,0
0,0.015486,0,0,0,0,0.0040899,0,0,0.0030907,0,0.0505,0,0,0,0,0.0031088,0,0,0,0
0,0.0039155,0,0,0,0,0.00080534,0,0,0.015696,0,0.021052,0,0,0,0,0.00061216,0,0,0,0
0,0.00077102,0,0,0,0,0.0001235,0,3.8629e-05,0.062079,0,0.0068345,0,0,0,0,9.3878e-05,0,0,0,0
0,0.00011824,0,0,0,0,0,0,0.00025189,0.19122,0,0.001728,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0012792,0.45871,0,0.00034027,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0050593,0.85698,0,5.2182e-05,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.015584,1.2469,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.037384,1.4129,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.069842,1.2469,0,0,0,0,0,0,0,0,0,0,0
