,0,1,2,3,4,5,6,7,8
0,0.0,0.0,0.01,0.01,0.06,0.01,0.01,0.0,0.02
1,0.0,0.0,0.01,0.01,0.06,0.01,0.01,0.0,0.02
2,0.0,0.0,0.01,0.01,0.06,0.01,0.01,0.0,0.02
3,0.0,0.0,0.01,0.01,0.08,0.01,0.01,0.0,0.02
4,0.0,0.0,0.01,0.01,0.08,0.01,0.01,0.0,0.02
5,0.0,0.0,0.01,0.01,0.08,0.01,0.01,0.0,0.02
6,0.0,0.0,0.01,0.01,0.08,0.01,0.01,0.0,0.02
7,0.0,0.0,0.01,0.01,0.09,0.01,0.01,0.0,0.03
8,0.0,0.0,0.01,0.01,0.09,0.01,0.01,0.0,0.03
9,0.0,0.0,0.01,0.01,0.09,0.01,0.01,0.0,0.03
10,0.0,0.0,0.01,0.01,0.09,0.01,0.01,0.0,0.03
11,0.0,0.0,0.01,0.01,0.11,0.01,0.01,0.0,0.03
12,0.0,0.0,0.01,0.01,0.11,0.01,0.01,0.0,0.03
13,0.0,0.0,0.01,0.01,0.11,0.01,0.01,0.0,0.03
14,0.0,0.0,0.01,0.01,0.11,0.01,0.01,0.0,0.03
15,0.0,0.0,0.01,0.01,0.12,0.01,0.02,0.0,0.03
16,0.0,0.0,0.01,0.01,0.12,0.01,0.02,0.0,0.03
17,0.0,0.0,0.01,0.01,0.12,0.01,0.02,0.0,0.03
18,0.0,0.0,0.01,0.01,0.12,0.01,0.02,0.0,0.03
19,0.0,0.0,0.01,0.01,0.13,0.01,0.02,0.0,0.03
20,0.0,0.0,0.01,0.01,0.13,0.01,0.02,0.0,0.03
21,0.0,0.0,0.01,0.01,0.13,0.01,0.02,0.0,0.03
22,0.0,0.0,0.01,0.01,0.13,0.01,0.02,0.0,0.03
23,0.0,0.0,0.01,0.01,0.15,0.01,0.02,0.0,0.03
24,0.0,0.0,0.01,0.01,0.15,0.01,0.02,0.0,0.03
25,0.0,0.0,0.01,0.01,0.15,0.01,0.02,0.0,0.03
26,0.0,0.0,0.01,0.01,0.15,0.01,0.02,0.0,0.03
27,0.0,0.0,0.01,0.0,0.15,0.01,0.02,0.0,0.03
28,0.0,0.0,0.01,0.0,0.15,0.01,0.02,0.0,0.03
29,0.0,0.0,0.01,0.0,0.15,0.01,0.02,0.0,0.03
30,0.0,0.0,0.01,0.0,0.15,0.01,0.02,0.0,0.03
31,0.0,0.0,0.0,0.0,0.16,0.01,0.02,0.0,0.03
32,0.0,0.0,0.0,0.0,0.16,0.01,0.02,0.0,0.03
33,0.0,0.0,0.0,0.0,0.16,0.01,0.02,0.0,0.03
34,0.0,0.0,0.0,0.0,0.16,0.01,0.02,0.0,0.03
35,0.0,0.0,0.0,0.0,0.18,0.0,0.02,0.0,0.03
36,0.0,0.0,0.0,0.0,0.18,0.0,0.02,0.0,0.03
37,0.0,0.0,0.0,0.0,0.18,0.0,0.02,0.0,0.03
38,0.0,0.0,0.0,0.0,0.18,0.0,0.02,0.0,0.03
39,0.0,0.0,0.0,0.0,0.21,0.0,0.02,0.0,0.04
40,0.0,0.0,0.0,0.0,0.21,0.0,0.02,0.0,0.04
41,0.0,0.0,0.0,0.0,0.21,0.0,0.02,0.0,0.04
42,0.0,0.0,0.0,0.0,0.21,0.0,0.02,0.0,0.04
43,0.0,0.0,0.0,0.0,0.24,0.0,0.03,0.0,0.04
44,0.0,0.0,0.0,0.0,0.24,0.0,0.03,0.0,0.04
45,0.0,0.0,0.0,0.0,0.24,0.0,0.03,0.0,0.04
46,0.0,0.0,0.0,0.0,0.24,0.0,0.03,0.0,0.04
47,0.0,0.0,0.0,0.0,0.26,0.0,0.03,0.0,0.04
48,0.0,0.0,0.0,0.0,0.26,0.0,0.03,0.0,0.04
49,0.0,0.0,0.0,0.0,0.26,0.0,0.03,0.0,0.04
50,0.0,0.0,0.0,0.0,0.26,0.0,0.03,0.0,0.04
51,0.0,0.01,0.0,0.0,0.28,0.0,0.04,0.0,0.04
52,0.0,0.01,0.0,0.0,0.28,0.0,0.04,0.0,0.04
53,0.0,0.01,0.0,0.0,0.28,0.0,0.04,0.0,0.04
54,0.0,0.01,0.0,0.0,0.28,0.0,0.04,0.0,0.04
