,index,algo,cell,dset,measure,rel value,split,value
0,0,stm,0,1,corr,,test,0.524730981559951
1,1,stm,1,1,corr,,test,0.48611735593820293
2,2,stm,2,1,corr,,test,0.4545474193573354
3,3,stm,3,1,corr,,test,0.5120643385102494
4,4,stm,4,1,corr,,test,0.560147979737305
5,0,stm,0,1,corr_bits,,test,0.4646290149103881
6,1,stm,1,1,corr_bits,,test,0.3889411203551051
7,2,stm,2,1,corr_bits,,test,0.3339039845711898
8,3,stm,3,1,corr_bits,,test,0.43871763859426477
9,4,stm,4,1,corr_bits,,test,0.5432269815326679
10,0,stm,0,1,rank,,test,0.3154309571073334
11,1,stm,1,1,rank,,test,0.3228485922386603
12,2,stm,2,1,rank,,test,0.250768748733696
13,3,stm,3,1,rank,,test,0.2993455030037457
14,4,stm,4,1,rank,,test,0.30774373522520077
15,0,chenkov,0,1,corr,0.03828186548428936,test,0.5630128470442404
16,1,chenkov,1,1,corr,0.10153923614115834,test,0.5876565920793613
17,2,chenkov,2,1,corr,0.09540041326173493,test,0.5499478326190703
18,3,chenkov,3,1,corr,0.08538889369205238,test,0.5974532322023017
19,4,chenkov,4,1,corr,0.04407095819537321,test,0.6042189379326782
20,0,chenkov,0,1,corr_bits,18.0,test,0.5500075920349884
21,1,chenkov,1,1,corr_bits,57.0,test,0.6111828580189068
22,2,chenkov,2,1,corr_bits,56.0,test,0.5196161962928845
23,3,chenkov,3,1,corr_bits,45.0,test,0.636997995153416
24,4,chenkov,4,1,corr_bits,21.0,test,0.6553544641396072
25,0,chenkov,0,1,rank,-0.002882328034743864,test,0.3125486290725895
26,1,chenkov,1,1,rank,-0.00016119302690159598,test,0.3226873992117587
27,2,chenkov,2,1,rank,0.005030312661281677,test,0.25579906139497766
28,3,chenkov,3,1,rank,0.0008882962965474639,test,0.30023379930029315
29,4,chenkov,4,1,rank,0.003313424925716568,test,0.31105716015091733
30,0,deneux,0,1,corr,0.04835493443494332,test,0.5730859159948943
31,1,deneux,1,1,corr,0.12552399822145233,test,0.6116413541596553
32,2,deneux,2,1,corr,0.12325559626346488,test,0.5778030156208003
33,3,deneux,3,1,corr,0.10668779899612257,test,0.6187521375063719
34,4,deneux,4,1,corr,0.06529580591018525,test,0.6254437856474903
35,0,deneux,0,1,corr_bits,24.0,test,0.5743848691928177
36,1,deneux,1,1,corr_bits,74.0,test,0.6760077804202533
37,2,deneux,2,1,corr_bits,76.0,test,0.5860947208093651
38,3,deneux,3,1,corr_bits,59.0,test,0.6963167480942906
39,4,deneux,4,1,corr_bits,32.0,test,0.7159121738784386
40,0,deneux,0,1,rank,-0.006140402584224103,test,0.3092905545231093
41,1,deneux,1,1,rank,0.012817495121127787,test,0.3356660873597881
42,2,deneux,2,1,rank,0.011786983122387962,test,0.26255573185608394
43,3,deneux,3,1,rank,0.0035457139490058243,test,0.3028912169527515
44,4,deneux,4,1,rank,0.0029141660224478727,test,0.31065790124764864
45,0,friedrich,0,1,corr,0.027281047338941544,test,0.5520120288988926
46,1,friedrich,1,1,corr,0.11701590193786837,test,0.6031332578760713
47,2,friedrich,2,1,corr,0.11046952196846066,test,0.565016941325796
48,3,friedrich,3,1,corr,0.09659361620847329,test,0.6086579547187226
49,4,friedrich,4,1,corr,0.054528250770663145,test,0.6146762305079682
50,0,friedrich,0,1,corr_bits,13.0,test,0.524328360600988
51,1,friedrich,1,1,corr_bits,68.0,test,0.6523790747552952
52,2,friedrich,2,1,corr_bits,66.0,test,0.5547906071779913
53,3,friedrich,3,1,corr_bits,52.0,test,0.6676403733345191
54,4,friedrich,4,1,corr_bits,26.0,test,0.6846120010025514
55,0,friedrich,0,1,rank,0.026256951296236453,test,0.34168790840356983
56,1,friedrich,1,1,rank,0.08774655334715098,test,0.4105951455858113
57,2,friedrich,2,1,rank,0.09179596588110661,test,0.3425647146148026
58,3,friedrich,3,1,rank,0.07870872823156594,test,0.3780542312353116
59,4,friedrich,4,1,rank,0.0822465037984616,test,0.38999023902366237
60,0,machado,0,1,corr,0.007716945115873619,test,0.5324479266758246
61,1,machado,1,1,corr,0.062014624819240804,test,0.5481319807574437
62,2,machado,2,1,corr,0.08862956972895158,test,0.543176989086287
63,3,machado,3,1,corr,0.06374684595632618,test,0.5758111844665755
64,4,machado,4,1,corr,0.009005519508597515,test,0.5691534992459025
65,0,machado,0,1,corr_bits,4.0,test,0.4809629903957073
66,1,machado,1,1,corr_bits,33.0,test,0.5154981715502659
67,2,machado,2,1,corr_bits,51.0,test,0.5043892354024813
68,3,machado,3,1,corr_bits,32.0,test,0.5811268329016608
69,4,machado,4,1,corr_bits,4.0,test,0.5647676403156616
70,0,machado,0,1,rank,0.00158109832028408,test,0.31701205542761746
71,1,machado,1,1,rank,-0.004833224365028588,test,0.3180153678736317
72,2,machado,2,1,rank,0.01753899994926822,test,0.2683077486829642
73,3,machado,3,1,rank,0.00860768467069195,test,0.30795318767443763
74,4,machado,4,1,rank,-0.0017897766634847878,test,0.305953958561716
75,0,mineault,0,1,corr,-0.009295393322170109,test,0.5154355882377809
76,1,mineault,1,1,corr,0.13230430926206982,test,0.6184216652002728
77,2,mineault,2,1,corr,0.1224907456824535,test,0.5770381650397889
78,3,mineault,3,1,corr,0.08473671170760255,test,0.5968010502178519
79,4,mineault,4,1,corr,0.05508618873398052,test,0.6152341684712855
80,0,mineault,0,1,corr_bits,-4.0,test,0.44550710975942387
81,1,mineault,1,1,corr_bits,79.0,test,0.6953612963995266
82,2,mineault,2,1,corr_bits,75.0,test,0.5841830296874547
83,3,mineault,3,1,corr_bits,45.0,test,0.6352516392019822
84,4,mineault,4,1,corr_bits,26.0,test,0.6862040714517058
85,0,mineault,0,1,rank,0.05311910128962066,test,0.36855005839695404
86,1,mineault,1,1,rank,0.0663840927494122,test,0.3892326849880725
87,2,mineault,2,1,rank,0.04186693620813714,test,0.2926356849418331
88,3,mineault,3,1,rank,0.06920307850036211,test,0.3685485815041078
89,4,mineault,4,1,rank,0.1438440364637703,test,0.4515877716889711
90,0,pachitariu,0,1,corr,-0.028893829006744587,test,0.49583715255320643
91,1,pachitariu,1,1,corr,0.05112770552937651,test,0.5372450614675794
92,2,pachitariu,2,1,corr,0.027024427148866048,test,0.48157184650620144
93,3,pachitariu,3,1,corr,0.06104126288214606,test,0.5731056013923954
94,4,pachitariu,4,1,corr,0.03919029359873405,test,0.5993382733360391
95,0,pachitariu,0,1,corr_bits,-12.0,test,0.40708516548563634
96,1,pachitariu,1,1,corr_bits,26.0,test,0.49133253618782746
97,2,pachitariu,2,1,corr_bits,14.0,test,0.3806554390474117
98,3,pachitariu,3,1,corr_bits,31.0,test,0.5744333411201279
99,4,pachitariu,4,1,corr_bits,18.0,test,0.6420682793457201
100,0,pachitariu,0,1,rank,-0.015508607726647416,test,0.29992234938068596
101,1,pachitariu,1,1,rank,0.003578696358400635,test,0.32642728859706094
102,2,pachitariu,2,1,rank,0.007266942561139134,test,0.2580356912948351
103,3,pachitariu,3,1,rank,-0.0015222321024287444,test,0.29782327090131694
104,4,pachitariu,4,1,rank,-0.004320077299844571,test,0.3034236579253562
105,0,ringach,0,1,corr,0.03315889333518951,test,0.5578898748951405
106,1,ringach,1,1,corr,0.06281556578261638,test,0.5489329217208193
107,2,ringach,2,1,corr,0.06914518231613215,test,0.5236926016734675
108,3,ringach,3,1,corr,0.08001469909532732,test,0.5920790376055767
109,4,ringach,4,1,corr,0.02449355020462507,test,0.5846415299419301
110,0,ringach,0,1,corr_bits,16.0,test,0.5379290650812004
111,1,ringach,1,1,corr_bits,33.0,test,0.5173114340208422
112,2,ringach,2,1,corr_bits,39.0,test,0.4624632623380889
113,3,ringach,3,1,corr_bits,42.0,test,0.6227264888964268
114,4,ringach,4,1,corr_bits,11.0,test,0.6034146028140545
115,0,ringach,0,1,rank,0.0806532519208582,test,0.3960842090281916
116,1,ringach,1,1,rank,0.06151506165812781,test,0.3843636538967881
117,2,ringach,2,1,rank,0.0405404109182812,test,0.2913091596519772
118,3,ringach,3,1,rank,0.032605939968690933,test,0.3319514429724366
119,4,ringach,4,1,rank,0.034107655943123816,test,0.3418513911683246
120,0,rupprecht,0,1,corr,0.026346724919415254,test,0.5510777064793663
121,1,rupprecht,1,1,corr,0.10850228146214158,test,0.5946196374003445
122,2,rupprecht,2,1,corr,0.10527751941002322,test,0.5598249387673586
123,3,rupprecht,3,1,corr,0.08586861884112929,test,0.5979329573513786
124,4,rupprecht,4,1,corr,0.035940948973130715,test,0.5960889287104357
125,0,rupprecht,0,1,corr_bits,12.0,test,0.5221913876241161
126,1,rupprecht,1,1,corr_bits,62.0,test,0.6294395504908046
127,2,rupprecht,2,1,corr_bits,62.0,test,0.5424665627732075
128,3,rupprecht,3,1,corr_bits,45.0,test,0.6382851312862627
129,4,rupprecht,4,1,corr_bits,17.0,test,0.6333493678039771
130,0,rupprecht,0,1,rank,0.0005336269073811795,test,0.31596458401471456
131,1,rupprecht,1,1,rank,-0.002782599594523205,test,0.3200659926441371
132,2,rupprecht,2,1,rank,-0.0011576708273830505,test,0.24961107790631293
133,3,rupprecht,3,1,rank,-0.0019831104762125795,test,0.2973623925275331
134,4,rupprecht,4,1,rank,-0.012502967913900154,test,0.2952407673113006
135,0,speiser,0,1,corr,0.05616974830675836,test,0.5809007298667094
136,1,speiser,1,1,corr,0.11921217673409867,test,0.6053295326723016
137,2,speiser,2,1,corr,0.12801899380084586,test,0.5825664131581813
138,3,speiser,3,1,corr,0.0854074469092394,test,0.5974717854194888
139,4,speiser,4,1,corr,0.054773657588810365,test,0.6149216373261154
140,0,speiser,0,1,corr_bits,28.0,test,0.5938893070760173
141,1,speiser,1,1,corr_bits,69.0,test,0.6584100508300419
142,2,speiser,2,1,corr_bits,79.0,test,0.5981153656954267
143,3,speiser,3,1,corr_bits,45.0,test,0.6370477341948703
144,4,speiser,4,1,corr_bits,26.0,test,0.6853118725684769
145,0,speiser,0,1,rank,0.01649915361332377,test,0.33193011072065715
146,1,speiser,1,1,rank,0.014225561336302872,test,0.3370741535749632
147,2,speiser,2,1,rank,0.00888453015511731,test,0.2596532788888133
148,3,speiser,3,1,rank,0.0008257271386360454,test,0.30017123014238173
149,4,speiser,4,1,rank,0.001734754153452478,test,0.30947848937865324
150,0,bolte,0,1,corr,-0.008523961088547027,test,0.516207020471404
151,1,bolte,1,1,corr,0.08839602936529578,test,0.5745133853034987
152,2,bolte,2,1,corr,0.08484597440873004,test,0.5393933937660654
153,3,bolte,3,1,corr,0.046120993663422705,test,0.558185332173672
154,4,bolte,4,1,corr,-0.002166415695467605,test,0.5579815640418374
155,0,bolte,0,1,corr_bits,-4.0,test,0.44707151059518235
156,1,bolte,1,1,corr_bits,49.0,test,0.5779083255239506
157,2,bolte,2,1,corr_bits,49.0,test,0.49603103063303233
158,3,bolte,3,1,corr_bits,23.0,test,0.5386199400529623
159,4,bolte,4,1,corr_bits,-1.0,test,0.5381433895098002
160,0,bolte,0,1,rank,0.002306248437106473,test,0.31773720554443985
161,1,bolte,1,1,rank,0.0021109364328850133,test,0.3249595286715453
162,2,bolte,2,1,rank,-0.0051564469943141955,test,0.24561230173938178
163,3,bolte,3,1,rank,-0.00594315991379446,test,0.2934023430899512
164,4,bolte,4,1,rank,-0.01667589068525621,test,0.29106784453994455
165,0,oopsi,0,1,corr,-0.05747256215945007,test,0.46725841940050095
166,1,oopsi,1,1,corr,,test,
167,2,oopsi,2,1,corr,0.002000569587417289,test,0.4565479889447527
168,3,oopsi,3,1,corr,-0.017541628978874513,test,0.49452270953137484
169,4,oopsi,4,1,corr,-0.09048613632881891,test,0.4696618434084861
170,0,oopsi,0,1,corr_bits,-24.0,test,0.35536922033291246
171,1,oopsi,1,1,corr_bits,,test,
172,2,oopsi,2,1,corr_bits,1.0,test,0.3372222148502871
173,3,oopsi,3,1,corr_bits,-8.0,test,0.40459699794596515
174,4,oopsi,4,1,corr_bits,-34.0,test,0.3595313026524071
175,0,oopsi,0,1,rank,-0.002150531656188559,test,0.3132804254511448
176,1,oopsi,1,1,rank,,test,
177,2,oopsi,2,1,rank,0.024534744475169734,test,0.2753034932088657
178,3,oopsi,3,1,rank,0.030252346453814583,test,0.32959784945756027
179,4,oopsi,4,1,rank,0.05545034980482183,test,0.3631940850300226
180,0,stm,0,2,corr,,test,0.2937624862740665
181,1,stm,1,2,corr,,test,0.5006854458672172
182,2,stm,2,2,corr,,test,0.4845840364611396
183,3,stm,3,2,corr,,test,0.44817260564554073
184,4,stm,4,2,corr,,test,0.353773177599277
185,5,stm,5,2,corr,,test,0.030542550325374236
186,6,stm,6,2,corr,,test,0.42667334512286875
187,7,stm,7,2,corr,,test,0.24746190397343004
188,8,stm,8,2,corr,,test,0.5250330152501976
189,9,stm,9,2,corr,,test,0.17946549615416266
190,0,stm,0,2,corr_bits,,test,0.13020185276330645
191,1,stm,1,2,corr_bits,,test,0.41635752590028857
192,2,stm,2,2,corr_bits,,test,0.3861321127093772
193,3,stm,3,2,corr_bits,,test,0.3234774512904873
194,4,stm,4,2,corr_bits,,test,0.19290142424241136
195,5,stm,5,2,corr_bits,,test,0.0013464423998959766
196,6,stm,6,2,corr_bits,,test,0.2899156917046774
197,7,stm,7,2,corr_bits,,test,0.09116771904111573
198,8,stm,8,2,corr_bits,,test,0.46526038484796467
199,9,stm,9,2,corr_bits,,test,0.047230879011080765
200,0,stm,0,2,rank,,test,0.30547030885488774
